byte_val,timing,is_target,predicted_key
0,11528,0,0
0,13548,0,0
0,18036,0,0
0,17248,0,0
0,12716,0,0
0,11104,0,0
0,10278,0,0
0,10458,0,0
0,10488,0,0
0,10074,0,0
1,10298,0,0
1,10514,0,0
1,10520,0,0
1,10508,0,0
1,10596,0,0
1,10444,0,0
1,10480,0,0
1,10660,0,0
1,10498,0,0
1,10344,0,0
2,10332,0,0
2,10022,0,0
2,9932,0,0
2,10344,0,0
2,10390,0,0
2,10280,0,0
2,10308,0,0
2,10546,0,0
2,10152,0,0
2,10152,0,0
3,10080,0,0
3,9994,0,0
3,9944,0,0
3,9950,0,0
3,9896,0,0
3,9954,0,0
3,10094,0,0
3,9970,0,0
3,9986,0,0
3,9904,0,0
4,10082,0,0
4,9954,0,0
4,9932,0,0
4,9818,0,0
4,9912,0,0
4,9930,0,0
4,9900,0,0
4,9786,0,0
4,9756,0,0
4,9646,0,0
5,9488,0,0
5,9828,0,0
5,10028,0,0
5,9914,0,0
5,9752,0,0
5,9884,0,0
5,10014,0,0
5,9942,0,0
5,9998,0,0
5,9916,0,0
6,9908,0,0
6,9918,0,0
6,9856,0,0
6,10004,0,0
6,9728,0,0
6,10302,0,0
6,10416,0,0
6,10432,0,0
6,10468,0,0
6,10506,0,0
7,10538,0,0
7,10524,0,0
7,10440,0,0
7,10370,0,0
7,10650,0,0
7,10634,0,0
7,10518,0,0
7,10728,0,0
7,10716,0,0
7,10674,0,0
8,10776,0,0
8,10660,0,0
8,10652,0,0
8,10650,0,0
8,10704,0,0
8,10758,0,0
8,10754,0,0
8,10632,0,0
8,10516,0,0
8,10444,0,0
9,10332,0,0
9,10450,0,0
9,10558,0,0
9,10540,0,0
9,10428,0,0
9,10428,0,0
9,10528,0,0
9,9962,0,0
9,9894,0,0
9,10000,0,0
10,10396,0,0
10,10484,0,0
10,10424,0,0
10,10074,0,0
10,9964,0,0
10,10026,0,0
10,10054,0,0
10,10034,0,0
10,9856,0,0
10,9998,0,0
11,9852,0,0
11,9912,0,0
11,9964,0,0
11,10140,0,0
11,9902,0,0
11,10280,0,0
11,10362,0,0
11,10324,0,0
11,10446,0,0
11,10436,0,0
12,10372,0,0
12,10364,0,0
12,10526,0,0
12,9980,0,0
12,9964,0,0
12,9942,0,0
12,9958,0,0
12,9968,0,0
12,10466,0,0
12,10324,0,0
13,10448,0,0
13,10306,0,0
13,9888,0,0
13,9984,0,0
13,9944,0,0
13,10592,0,0
13,10538,0,0
13,10636,0,0
13,10982,0,0
13,10732,0,0
14,10698,0,0
14,10716,0,0
14,10580,0,0
14,10618,0,0
14,10712,0,0
14,10644,0,0
14,10694,0,0
14,10584,0,0
14,10712,0,0
14,10640,0,0
15,10620,0,0
15,10532,0,0
15,10634,0,0
15,10796,0,0
15,10728,0,0
15,10768,0,0
15,10646,0,0
15,10654,0,0
15,10704,0,0
15,10682,0,0
16,10860,0,10
16,10662,0,10
16,10820,0,10
16,10696,0,10
16,10798,0,10
16,10734,0,10
16,10914,0,10
16,10774,0,10
16,10608,0,10
16,10630,0,10
17,10714,0,10
17,10560,0,10
17,10574,0,10
17,10902,0,10
17,10722,0,10
17,10728,0,10
17,10780,0,10
17,10592,0,10
17,10718,0,10
17,10812,0,10
18,10734,0,10
18,10744,0,10
18,10790,0,10
18,10684,0,10
18,10736,0,10
18,10876,0,10
18,10684,0,10
18,10784,0,10
18,10864,0,10
18,10716,0,10
19,10734,0,10
19,10826,0,10
19,10868,0,10
19,10560,0,10
19,10730,0,10
19,10620,0,10
19,10672,0,10
19,10660,0,10
19,10808,0,10
19,10666,0,10
20,10696,0,10
20,10754,0,10
20,10724,0,10
20,10864,0,10
20,10682,0,10
20,10750,0,10
20,10722,0,10
20,10708,0,10
20,10790,0,10
20,10724,0,10
21,10574,0,10
21,10800,0,10
21,10852,0,10
21,10616,0,10
21,10794,0,10
21,10746,0,10
21,10864,0,10
21,10886,0,10
21,10876,0,10
21,10974,0,10
22,10828,0,10
22,10516,0,10
22,10966,0,10
22,10724,0,10
22,10898,0,10
22,10674,0,10
22,10780,0,10
22,10636,0,10
22,10384,0,10
22,10436,0,10
